space_id;space_name;space_longname;spatialzone_name;spatialzone_longname;spatialzone_type;storey_id;storey_name;building_id;building_name;parent_id;parent_name;parent_type;parent_longname
b8ecb908-5f21-4971-9efe-e7c6855402c9;ROOM:1717921;ROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c685540c1c;ROOM:1718388;ROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c685540c12;ROOM:1718394;ROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
328f0778-34bd-44b8-8007-d579f58d69a3;ROOM:1721280;ROOM;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d69a9;ROOM:1721290;ROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d69bf;ROOM:1721308;ROOM;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d69bc;ROOM:1721311;ROOM;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d6981;ROOM:1721314;ROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d699d;ROOM:1721342;ROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d6e62;ROOM:1721345;ROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d6e67;ROOM:1721348;ROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8ec9b;ROOM:1721407;ROOM;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8eced;ROOM:1721417;ROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
